DataKey,Date,Length,week,Comments,GeneticSex,AssignType,Adipose,GenPBT_Rgroup,Stock,BY,Basin,GenStock,GenStockProb,Big,Month,GenPa,GenMa
OmyZON623S_0032,44805,655,1,,F,PBT,AD,2019-MVFH-PAHS-LittleSalmonR-AdClip,Pahsimeroi,2019,Snake,UPSALM,0.882519234,Small,9,OmyPAHH19S_0136,OmyPAHH19S_0736
OmyZON623S_0033,44805,580,1,,M,PBT,AD,2020-LYON-WALL-CottonWoodGR/LyonsFerry/Touchet-WA,Wallowa-WA,2020,Snake,MGILCS,0.845046251,Small,9,OmyLYON20S_0009,OmyLYON20S_0003
OmyZON623S_0037,44805,780,1,,F,PBT,AD,2019-DWOR-DWOR-RedHouse-AdClip,Dwor-C,2019,Snake,SFCLWR,0.997564384,Large,9,OmyDWOR19S_0728,OmyDWOR19S_0475
OmyZON623S_0039,44805,625,1,,F,PBT,AD,2019-IRRI-IMNA-Imnaha,Imnaha,2019,Snake,MGILCS,0.798533023,Small,9,OmyLSCR19S_0009,OmyLSCR19S_0013
OmyZON623S_0064,44805,865,1,,M,PBT,AD,2019-DWOR-DWOR-NFClearwaterR-AdClip,Dwor-C,2019,Snake,SFCLWR,0.999715841,Large,9,OmyDWOR19S_0182,OmyDWOR19S_0050
OmyZON623S_0065,44805,840,1,,F,PBT,AD,2019-DWOR-DWOR-RedHouse-AdClip,Dwor-C,2019,Snake,SFCLWR,0.999674964,Large,9,OmyDWOR19S_0718,OmyDWOR19S_0465
OmyZON623S_0066,44805,760,1,,F,PBT,AD,2019-CLWH-SFCR-RedHouse-AdClip,SF Clearwater,2019,Snake,SFCLWR,0.99539093,Small,9,OmyDWOR19S_1135,OmyDWOR19S_1308
OmyZON623S_0067,44805,725,1,,F,PBT,AD,2019-LYON-WALL-CottonWoodGR/LyonsFerry/Touchet-WA,Wallowa-WA,2019,Snake,MGILCS,0.999069392,Small,9,OmyWALL19S_0636,OmyWALL19S_0696
OmyZON623S_0068,44805,875,1,,M,PBT,AD,2019-CLWH-SFCR-MeadowCr-AdClip,SF Clearwater,2019,Snake,SFCLWR,0.999977763,Large,9,OmyDWOR19S_1054,OmyDWOR19S_1244
OmyZON623S_0070,44805,690,1,,F,PBT,AD,2019-HNFH-SAWT-SawtoothFH-AdClip,Sawtooth,2019,Snake,MGILCS,0.689699109,Small,9,OmySAWT19S_0153,OmySAWT19S_0653
OmyZON623S_0071,44805,925,1,,M,PBT,AD,2019-DWOR-DWOR-NFClearwaterR-AdClip,Dwor-C,2019,Snake,SFCLWR,0.999651103,Large,9,OmyDWOR19S_0145,OmyDWOR19S_0001
OmyZON623S_0072,44805,810,1,,F,PBT,AD,2019-DWOR-DWOR-NFClearwaterR-AdClip,Dwor-C,2019,Snake,SFCLWR,0.999979795,Large,9,OmyDWOR19S_0589,OmyDWOR19S_0445
OmyZON623S_0073,44805,820,1,,F,PBT,AD,2019-DWOR-DWOR-NFClearwaterR-AdClip,Dwor-C,2019,Snake,SFCLWR,0.643434596,Large,9,OmyDWOR19S_0589,OmyDWOR19S_0445
OmyZON623S_0074,44805,865,1,,M,PBT,AD,2019-DWOR-DWOR-NFClearwaterR-AdClip,Dwor-C,2019,Snake,SFCLWR,0.99999293,Large,9,OmyDWOR19S_0175,OmyDWOR19S_0043
OmyZON623S_0075,44805,860,1,,M,PBT,AD,2019-DWOR-DWOR-NFClearwaterR-AdClip,Dwor-C,2019,Snake,SFCLWR,0.999985129,Large,9,OmyDWOR19S_0307,OmyDWOR19S_0070
OmyZON623S_0076,44805,870,1,,M,PBT,AD,2019-CLWH-SFCR-MeadowCr-AdClip,SF Clearwater,2019,Snake,SFCLWR,0.999784651,Large,9,OmyDWOR19S_1032,OmyDWOR19S_1234
OmyZON623S_0078,44805,870,1,,M,GSI,AD,Unassigned,SFCLWR,,Snake,SFCLWR,0.999601418,Large,9,NA,NA
OmyZON623S_0083,44805,795,1,,F,PBT,AD,2019-MVFH-USAL-LittleSalmonR-AdClip,Upper Salmon,2019,Snake,SFCLWR,0.999892355,Large,9,OmyPAHH19S_1259,OmyPAHH19S_1544
OmyZON623S_0086,44805,870,1,,M,PBT,AD,2019-DWOR-DWOR-NFClearwaterR-AdClip,Dwor-C,2019,Snake,SFCLWR,0.855293227,Large,9,OmyDWOR19S_0171,OmyDWOR19S_0028
OmyZON623S_0087,44805,890,1,,M,PBT,AD,2019-DWOR-DWOR-NFClearwaterR-AdClip,Dwor-C,2019,Snake,SFCLWR,0.995791827,Large,9,OmyDWOR19S_0113,OmyDWOR19S_0013
OmyZON623S_0309,44810,693,2,,M,PBT,AD,2019-MVFH-PAHS-LittleSalmonR-AdClip,Pahsimeroi,2019,Snake,MGILCS,0.811798673,Small,9,OmyPAHH19S_0029,OmyPAHH19S_0629
OmyZON623S_0312,44810,740,2,,F,PBT,AD,Wells2019,Wells,2019,Up-C,MGILCS,0.624913837,Small,9,OmyWellsPBT19-0178,OmyWellsPBT19-0240
OmyZON623S_0313,44810,806,2,,F,PBT,AD,2019-DWOR-DWOR-NFClearwaterR-AdClip,Dwor-C,2019,Snake,SFCLWR,0.999825212,Large,9,OmyDWOR19S_0548,OmyDWOR19S_0417
OmyZON623S_0314,44810,658,2,,F,PBT,AD,2019-IRRI-WALL-WallowaR,Wallowa-OR,2019,Snake,MGILCS,0.914555425,Small,9,OmyWALL19S_0334,OmyWALL19S_0314
OmyZON623S_0316,44810,885,2,,M,PBT,AD,2019-DWOR-DWOR-ClearCr-AdClip,Dwor-C,2019,Snake,SFCLWR,0.999997375,Large,9,OmyDWOR19S_0387,OmyDWOR19S_0253
OmyZON623S_0317,44810,689,2,,F,PBT,AD,2019-LYON-WALL-CottonWoodGR/LyonsFerry/Touchet-WA,Wallowa-WA,2019,Snake,MGILCS,0.891109571,Small,9,OmyWALL19S_0525,OmyWALL19S_0529
OmyZON623S_0318,44810,848,2,,M,PBT,AD,2019-DWOR-DWOR-NFClearwaterR-AdClip,Dwor-C,2019,Snake,SFCLWR,0.999280252,Large,9,OmyDWOR19S_0107,OmyDWOR19S_0007
OmyZON623S_0319,44810,780,2,,F,PBT,AD,2019-DWOR-DWOR-NFClearwaterR-AdClip,Dwor-C,2019,Snake,SFCLWR,0.997750911,Large,9,OmyDWOR19S_0110,OmyDWOR19S_0010
OmyZON623S_0320,44810,654,2,,M,PBT,AD,2019-LYON-WALL-CottonWoodGR/LyonsFerry/Touchet-WA,Wallowa-WA,2019,Snake,MGILCS,0.930139468,Small,9,OmyWALL19S_0524,OmyWALL19S_0532
OmyZON623S_0323,44810,840,2,,F,PBT,AD,2019-DWOR-DWOR-NFClearwaterR-AdClip,Dwor-C,2019,Snake,UPCLWR,0.855233863,Large,9,OmyDWOR19S_0311,OmyDWOR19S_0078
OmyZON623S_0324,44810,705,2,,M,PBT,AD,Wells2019,Wells,2019,Up-C,MGILCS,0.484846851,Small,9,OmyWellsPBT19-0168,OmyWellsPBT19-0229
